PairID,Text1,Text1 Translation,Text2,Text2 Translation,Score
ARQ-train-0027,يام كلهم مركة فرنسي كشم ﻟﭭﻴﺘﻲ راحة مركة ألجيريان,"All of them are French brand, Kashm for my country, Raha, Algerian brand", آه كاينين بصح مدرحين كاينين وحايد مخدومين هنا," Oh, there are people who are right, there are people who are still being served here",0.59
ARQ-train-0028,يعطيك الصحة خويل شمسو ربي يحفضك انشاء الله,"May God bless you with good health, may God protect you", فوور فوور والله مانسوطي برافو شمسو," Immediately, impatiently, I swear to God, bravo, Shamso",0.69
ARQ-train-0029,ام دراري صغار يحكمو رجل,Umm Darari are young people ruling over a man, اها ارواحي احكي انتي هنا," Oh, my soul, I'm talking, you're here",0.38
ARQ-train-0030,على وش,On what?, على لعريس, On to the groom,0.5
ARQ-train-0031,في وقتنا عشنا الدقيقة بديتاي و كل حاجة تصرالنا قصة و فيلم مسجل و ألف حكاية و رواية,"In our time, we lived every minute of my beginning, and everything became a story, a recorded film, a thousand stories and novels", كنت وقتها صغيرة و ما كنتش أصلا نعرف قضية الدار بصح كنت نحب التفراج على بنت الجيران و هي تنشر القش, I was young at the time and did not even know the issue of the house. It is true that we loved watching the neighbor’s girl as she was spreading hay.,0.28
ARQ-train-0032,ما يعرفوش كاين أدكار تهدرهم يهرب عليك,They don't know that any thoughts you waste will escape you, كاﭘﺎبل يتبعك قادر يدخلو في التوموبيلات, Capable follows you and is able to enter the mobiles,0.5
ARQ-train-0033,أو يعرف لي ﭘﻮان فابل تاع العباد,Or does he know who the people of Babel are?, كون يخرج من بلاصة  تحبسلك لبلاصة أديك, A universe that comes out of a place that traps you in a place that leads to you,0.5
ARQ-train-0034,وحايد يڤولو مات و وحايد يڤولو جن,"He is alone in saying he is dead, and he is alone in saying that he is a jinn", كل واحد وش يڤول ما على باليش أنا, Everyone says what's wrong with me,0.56
ARQ-train-0035,الف مبروك ام وليد نحبك بزاف يعطيك الصحة,"Congratulations to Umm Walid, we love you very much, give you good health", الف مبروك حبيبتي ام وليد تستحقين اكثر," Congratulations, my dear Umm Walid, you deserve more",0.69
ARQ-train-0036,ڤالت لي إنت تهدري ڤلت لهم أسكتوا ولاو يزيدوا معاها في الهدرة,"She said to me, “You are wasting.” I told them to be quiet and not to add to the waste with her", أي سمعتها أونديري إنت تهدري و تڤولي لنا أحنا لا أسكتوا," Yes, I heard her saying that you are wasting away and telling us that we should not be silent",0.66
ARQ-train-0037,سورة الكهف حتى هي  تجنبك,Surah Al-Kahf even avoids you, يڤلك أو كون يعرف وش تحب أنت, He knows you or knows what you like,0.38
ARQ-train-0038,لهيه راهم حيين,Why do they see them alive?, هاك هدا يحفظك, This will protect you,0.34
ARQ-train-0039,آه وشيا لاكولور,Ah and Shea Lacolor, بلون و موڢ, Color and mauve,0.59
ARQ-train-0040,الصباح جيت هابطة قريب تخابطت مع رؤوف,"In the morning, I came down soon and interacted with Raouf", على السبعة قريب تخابطتي مع رؤوف," On the 7th, I interacted with Raouf",0.84
ARQ-train-0041,روحي برك أ رؤى أو كاين لتاي,My soul is blessed with visions or a vision for Tai, ﭬولي أ رؤى تعشيتوا عند خالتك ولا لا, I have no idea whether you had dinner with your aunt or not,0.53
ARQ-train-0042,ديري سكانار غدوا,Derry scanner tomorrow, لالا ليراديو ليراديو, Lala lerradio lerradio,0.88
ARQ-train-0043,من وقتاش,How long has it been?, من اليوم, from today,0.5
ARQ-train-0044,شكون هدوك,How are you?, تاع الريزو, The riso,0.41
ARQ-train-0045,اﻟﭙﻮرتابل راه عندها,The portable saw it then, إيه آي رفداتو, A.I. Rvdato,0.69
ARQ-train-0046,نطلب ماما,We ask mama, هيا وقتاه," Come on, its time",0.31
ARQ-train-0047,لا حتى انا ما ڤلتش كيما هكا ڤالت لك كونكور,"No, I didn't even look like this, so she told you Concours", انتي حابة تروحي تكملي ولا لا سينون أم يديرولك تاست," Do you want to go and continue or not, Sinon or will they give you a meal?",0.66
ARQ-train-0048,فكرتيني درك نعيط لطه,You thought I would cry for Taha, وش ﻧﭭﻮلولو على الساعة, What do we know about the watch?,0.5
ARQ-train-0049,راني زعفان علايها مانسوطيش,"Rani Zaafan, don't forget her", لحمي تشوك مانسوطيش, Meaty chuck mansoutish,0.62
ARQ-train-0050,قولي له الصح نورمال,Tell him the normal truth, هيا هيا نروحو لهيك, Let's go to this place,0.31
ARQ-train-0051,كل مرة يقول لي نفس الهدرة,Every time he says the same thing to me, ألو مانو واش راكي سا ڤا, Hello manu wash rakhi sa va,0.38
ARQ-train-0052,قبلوني في ﻟﻴﻜﻴﭗ سكولار,They accepted me at L'Equipe Scholar, تلعبو كونتر ليزﻳﻜﻴﭗ لوخرين, You play Counter-Lizique Lugeren,0.78
ARQ-train-0053,أنا إدا مليحة تاع دياﻳﭙﻲ نشري وحدة,I want to buy one from Diabe, كاينة وحدة تحفة اللي راني قلت لك عليها, There is a masterpiece unit that I told you about,0.69
ARQ-train-0054,ما ڨلتولي والو على هداك الپاپيي اللي بعتت,You didn't tell me anything about that papyrus you sent, ربي يسهل تروح وتجي على خير وعافية نشالله," May God make it easy for you to go and come in good health, God willing",0.31
ARQ-train-0055,لا كون ڤلتي لحفيظة تانا أي تسكن بحداها ليليا,"No, my villa is lahfiza tana, that is, you live in its borders at night", ڤولي لها برك أ فريال أني نعول عليك," Tell her your blessings, Faryal, I am counting on you",0.38
ARQ-train-0056,والله ما على بالي فيهم كامل ولا لالا,"By God, I don't care whether they are perfect or not", ساعات تنفحلي على اﻟﭙﻮرتابل و ساعة نقول نرجع للساﻣﭙﻞ," Hours of opening on the portable, and an hour we say we will return to the sample.",0.41
ARQ-train-0057,وين هنا أم يديرو لكلاسمون,Where are they here or running for Clasmon?, دونك اون سول ميتود غالطة, Dunk on Soul Method Galata,0.34
ARQ-train-0058,كي جديدة لازم تاﻛﺘﻴﭭيها,You must make a new one, جيبي شهادة إعادة تسجيل, Bring a re-registration certificate,0.41
ARQ-train-0059,يديوا في سواردهم حرام كي يعود ربي مشو غانيهم أم ما يتغناوش,It is forbidden for their hands to be in their pockets so that my Lord will return whether he sings to them or not, و اداكا اللحم تاع لحصان لي يبيعو فيه يخي يڤولو مليح للانيمي," If they sell meat for a horse, please call it good for the anime",0.47
ARQ-train-0060,امالة جرب قبل ماتفرماتي,"Tilt, try it before you finish it", فهموني على واش نهدرو, Tell me what to waste,0.28
ARQ-train-0061,وليت خايفة حتى من الخيال,I wish I was afraid even of imagination, راني خايفة  راني خايفة," I am afraid, I am afraid",0.91
ARQ-train-0062,كانت مغلوقة دوك كي جيت,Doc Key Gate was closed, ما جاوش دار خالتي مسعودة, He didn't go beyond my aunt Masouda's house,0.41
ARQ-train-0063,الف مبروك حبيبتي ام وليد تستحقين اكثر,"Congratulations, my dear Umm Walid, you deserve more", مبروك ام وليد تستاهليها شكرا على كل الوصفات," Congratulations to Umm Walid, you deserve it. Thank you for all the recipes",0.78
ARQ-train-0064,ڤالت : رحت ماتوا عليا بالضحك سورتو مع لاكسون تيعي,"She said: I started to die laughing at me, Sorto and Lacson Tei", بصح ربحت في اللوغال واي حا تبدا تقرا  ليامات أدي," Yes, I won the log, and now you start reading Liamat Adi",0.56
ARQ-train-0065,زيدي انا ديسيديت حاجة نهز ديپلوم منا و كندا منا,"Zaidi, I would like to get a diploma from us and Canada from us", اي ساهلة خلاه كندا عامبالك سورتو تعودي مزوزة ولا مزوز غدوة," Oh, easy, Canada, don't worry about whether you'll be a mazuza or a mazuza tomorrow",0.59
ARQ-train-0066,أيه بديت ﻧﭙﺮﻳﭙﺎري للباك تاعي,"Yes, I started a campaign for my buck", و بديتي تحفظي ولا مازلتي," And you started to be conservative, and you still are",0.75
ARQ-train-0067,شفتي أكي أعطيها لباباه العشية,I gave it to my father on the eve of my lips, ما تعطيها لوش تشوفي أمشي, Don't give her a chance to see me walking,0.59
ARQ-train-0068,كيفاه في ادارة,How to manage, نشارك في ليكونكور, We participate in Leconcor,0.31
ARQ-train-0069,بزاف لي كستيون من الجماعة لنعرفهم ومن العرب,I need a lot of people from the group so we can get to know them and the Arabs, ألكسيس نصر من أكس يخدم على الديالكت التونسي, Alexis Nasr of X serves on the Tunisian dialect,0.47
ARQ-train-0070,مالا ما نديروش لي رومارك على الكتيبة حتى نتفاهمو,Why don't we talk to me about Romark in the battalion until we come to an agreement?, ولازم نضرب طلة على هدا الكوربوس باش نشوفو ديزيڨزمپل, We must look at this body to see its size,0.38
ARQ-train-0071,على جال هذا الشيئ برك ؟,How are you doing this thing?, ايه  وعلاه ماعنديش البوابر يخرجو يصيدو, Why don't the gatekeepers go out hunting?,0.56
ARQ-train-0072,يخليك و يرخسك أﭬﻌﺪ انت ما تطلعش,He keeps you and keeps you away until you don't come out, يعني دير قدر لروحك أي حتشي أدي," I mean, make a destiny for your soul, i.e. Hashish Addy",0.62
ARQ-train-0073,هدرت معاهم ياسر تمسخرت معاهم ياسر بصح جامي ما هدرتلهم على الدين,"I wasted with them, Yasser. I made fun of them, Yasser. It is true that I did not waste them on religion", خممت شوية لو كان كل واحد يمد كتاب واحد برك وش راح يكون," I wondered a little bit if everyone were to provide one book with blessings, what would it be?",0.34
ARQ-train-0074,و كي راحوا للغابة صافي ماشي مالفين هوما يصيدو مربيينهم يجيبولهم اللحم عندهم ما يعرفوش كيفاش يصيدو,"And when they went to the forest, they did not know how to hunt. Their breeders would bring them meat. They did not know how to hunt.", ولاوا واش يديرو ساعة يهجمو على الديار ساعة يلقاو كميون تاع لحم جايز يهجمو عليه باش ياكلو, They ran around attacking the house for an hour and found a crowd of meat that they could attack in order to eat it.,0.66
ARQ-train-0075,انشاله اجيبو الباك,I hope I get the buck, عندك الحق خويا خساني," You are right, my brother Khasani",0.25
ARQ-train-0076,مزالو ما جاوش,They still haven't arrived, ما عيطتش غنية, I am not rich,0.25
ARQ-train-0077,عمبالي حطيتو بالصح كي جيت نشوف لقيتو ماكاش,"Ambali, you put it right, and when I came to see, I found nothing", آخر تسجيل درناه نهار لي جيتك فيه, The last recording we made was the day I came to you,0.53
ARQ-train-0078,يونس أك تسنا في ليلة القدر,Yunus Ak Tasna on the Night of Destiny, أني نعس فيكم لي يتحرك نتحرك معاه," I sleep among you, whoever moves, we move with him",0.44
ARQ-train-0079,تهود لبلاد ولا تروح لدار,Judaize a country and do not go home, السيدي بطلت مشني حا نمدو," Sir, I stopped trying to sleep",0.34
ARQ-train-0080,مانسوطيش ربي يحفظك شمسو كمل,"Don't forget, may God protect you, Shamso Kamal", ربي يحفضك خويا شمسو," May God protect you, my brother Shamso",0.75
ARQ-train-0081,قوللي على واش يهدروا,Tell me what they are wasting, على الموديل تاع خريبوط, On the model of Kharibout,0.44
ARQ-train-0082,يعطيك الصحة على توضيح حبيبتي ام وليد,"Thank you for your clarification, my dear Umm Walid", من فضلك ام وليد ديري لنا شخشوخة المسمن ارجوكي," Please, mother of Walid, give us the fattened person’s shame, please",0.44
ARQ-train-0083,بانتلي راح الحال,The situation is gone, حبيتي ترﭬدي بلاك," You would love to support me, Black",0.5
ARQ-train-0084,إيه صح بالاك تسنا فيها برك,"What's right, don't worry, let's have pools in it", واش سارة راه يعيط لك حفيظ, Sarah saw him giving you Hafeez,0.28
ARQ-train-0085,لالا وحداخر,"No, no, no one else", ماشي كيمو," Okay, Kimo",0.56
ARQ-train-0086,زينب بنت عمة نوري,"Zainab, Nouri’s cousin", ايه واش راكي لاباس, What's wrong with you?,0.25
ARQ-train-0087,مانسوطيش يعطيك صح شمسو,"We won't give you anything right, Shamso", ربي يحفضك شمسو فيديو فالقمة," May God protect you, Shamso, video at the top",0.62
ARQ-train-0088,و قلت نحكم خدمة عند الدولة,"And I said, “We serve the state.”", كي يخلاص الكونترا رونوڢلي كونترا عند ﭘﺮيڢي," In order for the Contras to be saved, Ronovli Contra was at Privi's house",0.62
ARQ-train-0089,سلام ام وليد جاتني رايعة ودوب فالفم يعطيك الصحة حبيبتي دائما رائعة,"Hello, Umm Walid, I received a wonderful and warm mouth. May you be healthy, my love, always wonderful", شكرالك ام وليد نبغيك بزاف راكي معاوتني على الطياب يعطيك الصحة," Thank you, Umm Walid. I really want you to help me with perfume. May God grant you good health",0.62
ARQ-train-0090,فيديو مستوى عالي خويا شمسو ربي معاك,"High level video, my brother Shamso, may God be with you", فديو بزاف شباب وكلامك صواب يعطيك الصحة خويا شمسو," Great video, guys, and your words are right, may God bless you, my brother Shamso",0.81
ARQ-train-0091,الشي أدا لي ﭬﺎعد يصرى جاي من العباد,"If something happens to me, it will come from the servants", لا حنا ولات عندنا التقافة تاع الحقد و الكره, We no longer have the culture of hatred and malice,0.59
ARQ-train-0092,طلعي على واه يهدروا,It turned out to be wasting, على الموديل تاع خريبوط, On the model of Kharibout,0.47
ARQ-train-0093,حتى لدوك حكينا على كلش حتى على لا پولتيك,"Even before you, we talked about everything, even about La Poltica", أنا البارح بديت نكتب لي ايمايل تاعك بالعربية," Yesterday, I started writing you an email to me in Arabic",0.44
ARQ-train-0094,لي حاب شمسو يوصل لمليون ابوني يدير جام,"If anyone wants to reach one million, Ebony will run a game", شمسو الفيديو تاعك يبقى هو المييار فوور, Your video will still be the best one,0.56
ARQ-train-0095,أها أي رايحة تدي وحد ليفاكتور,"Oh, you're going to go get one of Levactor", نروح نحط لوراقي تاعي و نعدي طول, Let's go put my papers and walk around,0.47
ARQ-train-0096,كون جات محتجاتك في حاجة إيرجون ، أي جاتك,"If your needs are in Ergun's need, that is, they come to you", آه عندك الحق و أدومكا البنات كشما تغيب عليهم حاجة," Oh, you are right, and Adomka girls are missing something",0.62
ARQ-train-0097,نبعتلك فيه السكر,We will send you sugar in it, سارة وين راهي," Sarah, where are you?",0.12
ARQ-train-0098,ما نعرف واش صرا في الدخلة,We don't know what happened in the entrance, راهي صرات مضاربة هنا قدام الوحدة فهمت," I see speculation happening here in front of the unit, I understand",0.69
ARQ-train-0099,حتى أنا نسحقه بزاف,Even I crush him badly, ما نطولش بيه ڤاع, We don't spend much time with it,0.53
ARQ-train-0100,عندها تلاتة ولا ربع سنين دفقت عليها أختها الماء السخون,"At the age of three or a quarter, her sister poured hot water on her", شفتيه هداك الباب الكبير لي مالفين نغطيو بيه الكبش شفتي," His lips, this is the big door that we can't cover the ram with",0.31
ARQ-train-0101,هاه تاع لبيبة,This is for Labiba, جوستومون نعيط لها, Gostomon shouted to her,0.31
ARQ-train-0102,أنا كامل عايشين هكاك,I fully live like this, و أنت راكي تقراي, And you are reading,0.44
ARQ-train-0103,ممكن كل واحد كيفاش يخمم,Can everyone guess how?, داكور كشما عندك تام للدوكتوراه," Dakor Kshama, you have completed your PhD",0.41
ARQ-train-0104,ڤل له بينلي بلي ربي كاين و نا ما نامنش بالقضاء و القدر,Everyone tells me that my Lord is there and we do not believe in destiny and destiny, كيفماه ﺗﭭﻮلي هدا العبد مقدرتلو يصرالو كيما هكا و ما على باليش," No matter how you treat this slave, he can't treat him like this and I don't care.",0.62
ARQ-train-0105,كون حكمتك خدمتك روح أخدم خدمتك الفوڤ,"May your wisdom serve you, my soul, I will serve your service", سامحيني أ مدام ما بقيتش نعاودها," Forgive me, Madam, we won't do it again",0.47
ARQ-train-0106,آه اللي تسكن في كوبا,"Oh, who lives in Cuba", كشما يجيكم كونكور ڤولي لي, Kashma brings you Concours Volley Lee,0.25
ARQ-train-0107,و الحمص ؟,And chickpeas?, يجيبهولك في قزديرة, They bring you in a bottle,0.56
ARQ-train-0108,هي كي توصل لقطة ملاحة و تنوض تسقسي,It is to connect a navigation shot and get up and get up, دات عشرة في الرياضيات و عشرة في اللغة, Ten in mathematics and ten in language,0.34
ARQ-train-0109,مع الايمان تاعنا هدا ربي يستر,"With our faith, may God protect us", كاين دعاء يقول لك  تقوله, There is a prayer that tells you to say it,0.53
ARQ-train-0110,ﻟﭭﻰ راحتو لهيه,It's so easy now, يڤعد ولا يروح, He comes back and doesn't go away,0.47
ARQ-train-0111,شفتي واش قالت لنا داخل في الكونكور,My lips told us to enter the Concours, علم النفس المرضي موديل تاع عامين," Psychopathology, two-year model",0.47
ARQ-train-0112,نشفا عليها كنت صغيرة كيما دخلت نبيلة عروسة كانوا ولاد تركية يروحولها و انا معاهم,"We dried on her. I was young. When Nabila, a bride, entered, Turkish children were going to her, and I was with them.", نهار كامل وحنا عندها ما نروحوش خلاه شحال كانت عندها سكرية تاع ﭬزاز كبيرة كسرناهالها, It was a whole day and we didn't go there. She had a sugar bottle with a big bottle and we broke it.,0.75
ARQ-train-0113,حنا ﻧﭭﻮلو سكنك تسما او لداخل فيك مشي كيمك أو من بعيد,"We will tell you where you live, whether inside you, walking like you, or from afar.", خاطر هو ديجا من نار يخي من نار ما يقدرش يخش فيك فاهمني كيفماه," He thought he was a thief from the fire, his brother was from the fire and he couldn't be afraid of you, so understand me how he is",0.47
ARQ-train-0114,أيا بيان ظهر حتى هو ما ﭬﺪمش,"Whatever statement appeared, even it was not destroyed", أو كان لازم عليه يفهم التام تيعو, Or he had to understand it completely,0.47
ARQ-train-0115,جات وحدة في التيليفزيون رجلها مقطعة دارت أكسيدون,There was a unit on the television with its leg cut off and it turned on the oxydone, خرجت من ليسي ما جاش ﻟﭙﺮوف تاع اﻟﺴﭙﻮر, I left my place and didn't go to the evening table.,0.44
ARQ-train-0116,ربي يعيشك اني لڤيت,May God keep you alive that I died, وش أدا أو ﭘﻴﺮيمي, What if or what?,0.28
ARQ-train-0117,قانون نحساب يديروه غير تاع الأدب,A law that we rule is not governed by literature, لا هو ما داروش في لافاك," No, he didn't go to Lavak",0.62
ARQ-train-0118,اداك هو الصح غير الدز والعفيس,Your adak is the right one other than the dazz and the afis, مراد ﭬبالي ما جاش دا كونجي اليوم, Murad did not come to me today,0.28
ARQ-train-0119,عاونينا شوية أ فريال حن وحدنا ما ﻟﭭﻴﻨﺎش رواحنا,"Help us a little, Faryal, when we are alone and there is no place for our souls.", درك نعيط لها درك بعد و نعاود نعيط لرفيقة نكونفرميلها," We give her a shout after another, and then we shout again to a friend who is close to her",0.5
ARQ-train-0120,لوسات لوسات ديسمبر,Losat Losat December, هاه مكانش مشكل, No problem,0.41
ARQ-train-0121,علي يبيع القهوة,Ali sells coffee, وين رايح وين, Where are you going?,0.38
ARQ-train-0122,ديجا هكا راني نسوفري باش نكتب,"Deja, let's talk about it so we can write", مانيش سور باللي نقدروا نكتبوهم في السكايب, I don't know what we can write on Skype,0.59
ARQ-train-0123,راني نقول لك ترومبورسي علابالك لوكان يفيقو ترمبورسي الدراهم,"Let us tell you, what do you think is Trumpuristic?", لالا لالا راكي تخدمي يا بنتي راكي خدامة," No, no, no, you want to serve, my daughter, you are a servant",0.41
ARQ-train-0124,عيب تزيدي تعوداها الهدرة أدي,Shame on her if she gets used to wasting, أنا ما كنتش حابة لانفورماتيك, I didn't like Informatics,0.28
ARQ-train-0125,ربي يحفضك خويا شمسو والله تيتاهل كل الخير,"May God protect you, my brother Shamso, and may God grant you all the best", خويا شمسو انشا الله ربي يحفضك منفوطيش منصوطيش او متبدلنيش," My brother Shamso, God willing, may God protect you. Don’t give up or change me.",0.69
ARQ-train-0126,راحت ماماه خرجت و خلاته عند الجارة,His mother went out and left him with the neighbor, و هي عندها دراري قعد يلعب معاهم, Then Dari sat playing with them,0.56
ARQ-train-0127,لالا حتى حاجة,"No, not even a need", بالصح لاﻟﭭﻮريتميك أكتر, It is more correct for the algorithm,0.34
ARQ-train-0128,هأديك الخطرة جيت معاك,This dangerous gift came with you, شحال في عمرها بنتو, How old is his daughter?,0.25
ARQ-train-0129,قال لها أهدري راكي كي اختي,He told her to waste my money for my sister, أنا قلت له قبل الطفلة ما تقراش, I told him before the child did not read,0.5
ARQ-train-0130,البارح معنتها عندها ياسر في الغنا,"Yesterday, she had Yasser singing", وي يقدر يحكي على دكرياته في الفن, He can talk about his memories of art,0.47
ARQ-train-0131,يزي والله,"Yes, I swear", شعرك تسيبيه, Leave your hair alone,0.28
ARQ-train-0132,ناس مرضى يا راجل,"Sick people, man", او كاين عندكم پوز, Or do you have a poz?,0.34
ARQ-train-0133,حتى في الأزمات آم عايشين خير منا,"Even in crises, people live better than us", صح سليمة يخسبوها ساهلة يفيقوا كي يجربوا," It's sound and sound, they lose it, it's easy for them to wake up and try it",0.53
ARQ-train-0134,والله ڤالوها لي هما اللي هدروها,"By God, they told me that they were the ones who wasted it", كل واحد ربي وش كتبله ربي, What God has written for each one,0.38
ARQ-train-0135,و تبقى ميا تروحو بيها للحج,And you can still go with her to Hajj, و تبقى عشرين يديرو بيها لعشا, And there are twenty left to spend for dinner,0.59
ARQ-train-0136,لا وش نندب باها قريت قريت فلاﺳﭙﻴﺴﻴﺎليتي تاعي,"No, what do we mourn about it? I read my professionalism.", هاه أجون دو سيزي طلبوا وحدة معايا دياﻳﻴﭙﻲ ليسونسي," Hey, Ajon de Sese asked for a unit with me, Diabe Lissonsi.",0.44
ARQ-train-0137,في الليل ﭬﺘﻠﻮ أيا نشوفو المخازن,"At night, we went to see the warehouses", ڤولي لها هو لا خلي الصباح, Tell her it's not the morning,0.5
ARQ-train-0138,البارح كي كنا نعيطو حتى واحد فيكم ماجا لعندنا,"Yesterday, we were giving even one of you what came to us", حتى واحد فيكم ما فيه رحمة في قلبو, Even one of you has no mercy in your heart,0.78
ARQ-train-0139,كبرت شمسو فيديو يقيس بزاف برافو,Bravo, يعطيك الصحة خدمة فوور بزااف, Gives you health with great service,0.66
ARQ-train-0140,أهدري بالتلفون,Wasted on the phone, عبزتي سيبون, I love you Sibon,0.38
ARQ-train-0141,ناض مخلوع مره واحد اخرى و سقسى مرته على الطفل,A grown-up was deported once again and his wife was cruel to the child, راح يحوس على ولده عند الخدامة ماﻟﭭﺎهش عندها هبل, He began to feel that his son was in the maid's room for nothing,0.62
ARQ-train-0142,لاﭘﻮليس ﭬﺎلوا كان يقرا هنا,Lapolise Valois was reading here, مزلتي تسناي روحي ارتاحي شوية, You're still waiting for me to rest for a while,0.28
ARQ-train-0143,واحد العبارة يشوفوها غير المسلمين,One of the phrases is seen by non-Muslims, أسمع ﭘﺎسكو يعطيه ربي قدرات," I hear Pasco, God gives him abilities",0.34
ARQ-train-0144,أومبعد نردوه بالعربية زوج سوايع مينيموم,"Or then we say it in Arabic, a pair of minimum hours", علابيها قلت نسجل أنا و تسجل سارة, Alabiha said that I would register and Sarah would register,0.41
ARQ-train-0145,تسمى كي تكون في الكوما طلعت  هي تاني,"It's called to be in the coma, it's gone again", فهمت تطلع واش درت في هداك النهار يتحسب لك, I realized that whatever you did during that day would count for you,0.5
